video_id,step,error_message
iZDRX_wbRuo,yt-dlp,Video download failed
m1semWG1_Zo,yt-dlp,Video download failed
o_O4xdi57pQ,yt-dlp,Video download failed
p5BwMlHIT6E,yt-dlp,Video download failed
ppnbT5J1MWc,yt-dlp,Video download failed
rjiH8Qx2mRk,yt-dlp,Video download failed
stXBMYLqhWk,yt-dlp,Video download failed
tsbNQP6vwr4,yt-dlp,Video download failed
unDUZmRvEhI,yt-dlp,Video download failed
v3jHYhg3vXQ,yt-dlp,Video download failed
yRXBjfR29hY,yt-dlp,Video download failed
z2Ykeo5RCxI,yt-dlp,Video download failed
